LayerDepth,Vp
0,4.266945591
1.54,4.640017848
2.54,4.957419033
3.54,5.200261236
4.54,5.384639742
5.54,5.534399585
6.54,5.638262074
7.54,5.761178598
8.54,5.863846292
9.54,5.956160455
10.54,6.068167054
11.54,6.162499005
12.54,6.257871822
13.54,6.334044947
14.54,6.392990856
15.54,6.504731827
16.54,6.527662473
17.54,6.596749385
18.54,6.651996701
19.54,6.723029609
20.54,6.771546293
21.54,6.804909497
22.54,6.853277067
23.54,6.898474359
24.54,6.961943235
25.54,6.988855922
26.54,7.023314191
27.54,7.080666254
28.54,7.108483074