date,HH:MM,lat,lon,depth(km),ML
15/03/2013,8:34,37.83916667,71.15133333,1.94,3.1
23/01/2014,10:58,37.88216667,71.11216667,2.6,3.4
10/03/2014,1:25,37.84027778,71.08777778,2.99,3.7
12/03/2014,8:00,37.84027778,71.09222222,1.89,3.1
18/04/2014,10:44,37.845,71.11716667,1.8,3
04/07/2014,4:21,37.763,71.10666667,2,3.3
23/08/2014,2:16,37.79816667,71.0815,3.76,2.4
07/03/2015,17:37,37.84,71.16183333,1.5,3.2
12/03/2015,19:41,37.86433333,71.08616667,1.3,3.6
15/03/2015,0:18,37.84516667,71.11716667,3.3,3.2
19/08/2015,6:11,37.81076389,71.048025,4.41,2
16/09/2015,22:59,37.83416667,71.1825,4.7,3.3
22/09/2015,14:40,37.78633333,71.06816667,2.9,3
02/10/2015,0:03,37.772,71.07716667,0.94,3.6
13/12/2015,3:57,37.79,71.05133333,5.49,3.1
16/12/2015,19:48,37.77833333,71.05916667,6.9,3.1
14/01/2016,7:45,37.77533333,71.01566667,6.46,3.8
14/01/2016,19:20,37.778,71.03416667,9.3,3.1
29/09/2016,5:39,37.84833333,71.10783333,4.9,3.1
28/10/2016,11:32,37.86166667,71.0375,3.9,3.1
28/11/2016,2:33,37.81733056,71.18066667,1.4,3.1
11/11/2017,2:06,37.88933333,71.03683333,4.8,4
02/12/2017,20:58,37.3375,71.05183333,6.7,3.3
06/12/2017,1:45,37.845,71.074,4.3,4
07/10/2018,5:44,37.823,71.157,3.5,3.2
16/10/2018,10:50,37.81283333,71.083,4.4,2.7
06/12/2018,18:56,37.8197,71.1073,4.6,3.1
29/01/2019,4:02,37.82066667,71.04966667,1.98,3.2
22/02/2019,7:13,37.4534,71.0306,7.53,3.5
22/02/2019,7:30,37.76683333,71.05116667,7.37,2.5
22/02/2019,21:54,37.763,71.046,7.92,3.1
23/02/2019,9:16,37.763,71.061,6.53,3.2
02/03/2019,21:17,37.77901111,71.066,7.5,3.5